iso3,country,year,season
AUS,Australia,1936,Summer
AUT,Austria,1936,Summer
BEL,Belgium,1936,Summer
BGR,Bulgaria,1936,Summer
BMU,Bermuda,1936,Summer
BOL,Bolivia,1936,Summer
BRA,Brazil,1936,Summer
CAN,Canada,1936,Summer
CHE,Switzerland,1936,Summer
CHL,Chile,1936,Summer
CHN,China,1936,Summer
COL,Colombia,1936,Summer
CRI,Costa Rica,1936,Summer
DNK,Denmark,1936,Summer
EGY,Egypt,1936,Summer
ESP,Spain,1936,Summer
FIN,Finland,1936,Summer
FRA,France,1936,Summer
GBR,United Kingdom,1936,Summer
GRC,Greece,1936,Summer
HUN,Hungary,1936,Summer
IND,India,1936,Summer
ISL,Iceland,1936,Summer
ITA,Italy,1936,Summer
JPN,Japan,1936,Summer
LIE,Liechtenstein,1936,Summer
LUX,Luxembourg,1936,Summer
MCO,Monaco,1936,Summer
MEX,Mexico,1936,Summer
MLT,Malta,1936,Summer
NLD,Netherlands,1936,Summer
NOR,Norway,1936,Summer
NZL,New Zealand,1936,Summer
PER,Peru,1936,Summer
PHL,Philippines,1936,Summer
POL,Poland,1936,Summer
PRT,Portugal,1936,Summer
ROU,Romania,1936,Summer
SWE,Sweden,1936,Summer
TUR,Turkey,1936,Summer
URY,Uruguay,1936,Summer
USA,United States,1936,Summer
ZAF,South Africa,1936,Summer
AUS,Australia,1936,Winter
AUT,Austria,1936,Winter
BEL,Belgium,1936,Winter
BGR,Bulgaria,1936,Winter
CAN,Canada,1936,Winter
CHE,Switzerland,1936,Winter
ESP,Spain,1936,Winter
FIN,Finland,1936,Winter
FRA,France,1936,Winter
GBR,United Kingdom,1936,Winter
GRC,Greece,1936,Winter
HUN,Hungary,1936,Winter
ITA,Italy,1936,Winter
JPN,Japan,1936,Winter
LIE,Liechtenstein,1936,Winter
LUX,Luxembourg,1936,Winter
NLD,Netherlands,1936,Winter
NOR,Norway,1936,Winter
POL,Poland,1936,Winter
ROU,Romania,1936,Winter
SWE,Sweden,1936,Winter
TUR,Turkey,1936,Winter
USA,United States,1936,Winter
AFG,Afghanistan,1948,Summer
ARG,Argentina,1948,Summer
AUS,Australia,1948,Summer
AUT,Austria,1948,Summer
BEL,Belgium,1948,Summer
BMU,Bermuda,1948,Summer
BRA,Brazil,1948,Summer
CAN,Canada,1948,Summer
CHE,Switzerland,1948,Summer
CHL,Chile,1948,Summer
CHN,China,1948,Summer
COL,Colombia,1948,Summer
CUB,Cuba,1948,Summer
DNK,Denmark,1948,Summer
EGY,Egypt,1948,Summer
ESP,Spain,1948,Summer
FIN,Finland,1948,Summer
FRA,France,1948,Summer
GBR,United Kingdom,1948,Summer
GRC,Greece,1948,Summer
GUY,Guyana,1948,Summer
HUN,Hungary,1948,Summer
IND,India,1948,Summer
IRL,Ireland,1948,Summer
IRN,Iran,1948,Summer
IRQ,Iraq,1948,Summer
ISL,Iceland,1948,Summer
ITA,Italy,1948,Summer
JAM,Jamaica,1948,Summer
KOR,South Korea,1948,Summer
LBN,Lebanon,1948,Summer
LIE,Liechtenstein,1948,Summer
LKA,Sri Lanka,1948,Summer
LUX,Luxembourg,1948,Summer
MCO,Monaco,1948,Summer
MEX,Mexico,1948,Summer
MLT,Malta,1948,Summer
MMR,Myanmar,1948,Summer
NLD,Netherlands,1948,Summer
NOR,Norway,1948,Summer
NZL,New Zealand,1948,Summer
PAK,Pakistan,1948,Summer
PAN,Panama,1948,Summer
PER,Peru,1948,Summer
PHL,Philippines,1948,Summer
POL,Poland,1948,Summer
PRI,Puerto Rico,1948,Summer
PRT,Portugal,1948,Summer
SGP,Singapore,1948,Summer
SWE,Sweden,1948,Summer
SYR,Syria,1948,Summer
TTO,Trinidad and Tobago,1948,Summer
TUR,Turkey,1948,Summer
URY,Uruguay,1948,Summer
USA,United States,1948,Summer
VEN,Venezuela,1948,Summer
ZAF,South Africa,1948,Summer
ARG,Argentina,1948,Winter
AUT,Austria,1948,Winter
BEL,Belgium,1948,Winter
BGR,Bulgaria,1948,Winter
CAN,Canada,1948,Winter
CHE,Switzerland,1948,Winter
CHL,Chile,1948,Winter
DNK,Denmark,1948,Winter
ESP,Spain,1948,Winter
FIN,Finland,1948,Winter
FRA,France,1948,Winter
GBR,United Kingdom,1948,Winter
GRC,Greece,1948,Winter
HUN,Hungary,1948,Winter
ISL,Iceland,1948,Winter
ITA,Italy,1948,Winter
KOR,South Korea,1948,Winter
LBN,Lebanon,1948,Winter
LIE,Liechtenstein,1948,Winter
NLD,Netherlands,1948,Winter
NOR,Norway,1948,Winter
POL,Poland,1948,Winter
ROU,Romania,1948,Winter
SWE,Sweden,1948,Winter
TUR,Turkey,1948,Winter
USA,United States,1948,Winter
ANT,Netherlands Antilles,1952,Summer
ARG,Argentina,1952,Summer
AUS,Australia,1952,Summer
AUT,Austria,1952,Summer
BEL,Belgium,1952,Summer
BGR,Bulgaria,1952,Summer
BHS,Bahamas,1952,Summer
BMU,Bermuda,1952,Summer
BRA,Brazil,1952,Summer
CAN,Canada,1952,Summer
CHE,Switzerland,1952,Summer
CHL,Chile,1952,Summer
CHN,China,1952,Summer
CUB,Cuba,1952,Summer
DNK,Denmark,1952,Summer
EGY,Egypt,1952,Summer
ESP,Spain,1952,Summer
FIN,Finland,1952,Summer
FRA,France,1952,Summer
GBR,United Kingdom,1952,Summer
GHA,Ghana,1952,Summer
GRC,Greece,1952,Summer
GTM,Guatemala,1952,Summer
GUY,Guyana,1952,Summer
HKG,Hong Kong,1952,Summer
HUN,Hungary,1952,Summer
IDN,Indonesia,1952,Summer
IND,India,1952,Summer
IRL,Ireland,1952,Summer
IRN,Iran,1952,Summer
ISL,Iceland,1952,Summer
ISR,Israel,1952,Summer
ITA,Italy,1952,Summer
JAM,Jamaica,1952,Summer
JPN,Japan,1952,Summer
KOR,South Korea,1952,Summer
LBN,Lebanon,1952,Summer
LIE,Liechtenstein,1952,Summer
LKA,Sri Lanka,1952,Summer
LUX,Luxembourg,1952,Summer
MCO,Monaco,1952,Summer
MEX,Mexico,1952,Summer
MMR,Myanmar,1952,Summer
NGA,Nigeria,1952,Summer
NLD,Netherlands,1952,Summer
NOR,Norway,1952,Summer
NZL,New Zealand,1952,Summer
PAK,Pakistan,1952,Summer
PAN,Panama,1952,Summer
PHL,Philippines,1952,Summer
POL,Poland,1952,Summer
PRI,Puerto Rico,1952,Summer
PRT,Portugal,1952,Summer
ROU,Romania,1952,Summer
SGP,Singapore,1952,Summer
SWE,Sweden,1952,Summer
THA,Thailand,1952,Summer
TTO,Trinidad and Tobago,1952,Summer
TUR,Turkey,1952,Summer
URY,Uruguay,1952,Summer
USA,United States,1952,Summer
VEN,Venezuela,1952,Summer
VNM,Vietnam,1952,Summer
ZAF,South Africa,1952,Summer
ARG,Argentina,1952,Winter
AUS,Australia,1952,Winter
AUT,Austria,1952,Winter
BEL,Belgium,1952,Winter
BGR,Bulgaria,1952,Winter
CAN,Canada,1952,Winter
CHE,Switzerland,1952,Winter
CHL,Chile,1952,Winter
DNK,Denmark,1952,Winter
ESP,Spain,1952,Winter
FIN,Finland,1952,Winter
FRA,France,1952,Winter
GBR,United Kingdom,1952,Winter
GRC,Greece,1952,Winter
HUN,Hungary,1952,Winter
ISL,Iceland,1952,Winter
ITA,Italy,1952,Winter
JPN,Japan,1952,Winter
LBN,Lebanon,1952,Winter
NLD,Netherlands,1952,Winter
NOR,Norway,1952,Winter
NZL,New Zealand,1952,Winter
POL,Poland,1952,Winter
PRT,Portugal,1952,Winter
ROU,Romania,1952,Winter
SWE,Sweden,1952,Winter
USA,United States,1952,Winter
AFG,Afghanistan,1956,Summer
ARG,Argentina,1956,Summer
AUS,Australia,1956,Summer
AUT,Austria,1956,Summer
BEL,Belgium,1956,Summer
BGR,Bulgaria,1956,Summer
BHS,Bahamas,1956,Summer
BMU,Bermuda,1956,Summer
BRA,Brazil,1956,Summer
CAN,Canada,1956,Summer
CHE,Switzerland,1956,Summer
CHL,Chile,1956,Summer
COL,Colombia,1956,Summer
CUB,Cuba,1956,Summer
DNK,Denmark,1956,Summer
FIN,Finland,1956,Summer
FJI,Fiji,1956,Summer
FRA,France,1956,Summer
GBR,United Kingdom,1956,Summer
GRC,Greece,1956,Summer
GUY,Guyana,1956,Summer
HKG,Hong Kong,1956,Summer
HUN,Hungary,1956,Summer
IDN,Indonesia,1956,Summer
IND,India,1956,Summer
IRL,Ireland,1956,Summer
IRN,Iran,1956,Summer
IRQ,Iraq,1956,Summer
ISL,Iceland,1956,Summer
ISR,Israel,1956,Summer
ITA,Italy,1956,Summer
JAM,Jamaica,1956,Summer
JPN,Japan,1956,Summer
KEN,Kenya,1956,Summer
KOR,South Korea,1956,Summer
LBR,Liberia,1956,Summer
LKA,Sri Lanka,1956,Summer
LUX,Luxembourg,1956,Summer
MEX,Mexico,1956,Summer
MMR,Myanmar,1956,Summer
MYS,Malaysia,1956,Summer
NGA,Nigeria,1956,Summer
NOR,Norway,1956,Summer
NZL,New Zealand,1956,Summer
PAK,Pakistan,1956,Summer
PER,Peru,1956,Summer
PHL,Philippines,1956,Summer
POL,Poland,1956,Summer
PRI,Puerto Rico,1956,Summer
PRT,Portugal,1956,Summer
ROU,Romania,1956,Summer
SGP,Singapore,1956,Summer
SWE,Sweden,1956,Summer
THA,Thailand,1956,Summer
TTO,Trinidad and Tobago,1956,Summer
TUR,Turkey,1956,Summer
TWN,Taiwan,1956,Summer
UGA,Uganda,1956,Summer
URY,Uruguay,1956,Summer
USA,United States,1956,Summer
VEN,Venezuela,1956,Summer
VNM,Vietnam,1956,Summer
ZAF,South Africa,1956,Summer
AUS,Australia,1956,Winter
AUT,Austria,1956,Winter
BEL,Belgium,1956,Winter
BGR,Bulgaria,1956,Winter
BOL,Bolivia,1956,Winter
CAN,Canada,1956,Winter
CHE,Switzerland,1956,Winter
CHL,Chile,1956,Winter
ESP,Spain,1956,Winter
FIN,Finland,1956,Winter
FRA,France,1956,Winter
GBR,United Kingdom,1956,Winter
GRC,Greece,1956,Winter
HUN,Hungary,1956,Winter
IRN,Iran,1956,Winter
ISL,Iceland,1956,Winter
ITA,Italy,1956,Winter
JPN,Japan,1956,Winter
KOR,South Korea,1956,Winter
LBN,Lebanon,1956,Winter
LIE,Liechtenstein,1956,Winter
NLD,Netherlands,1956,Winter
NOR,Norway,1956,Winter
POL,Poland,1956,Winter
ROU,Romania,1956,Winter
SWE,Sweden,1956,Winter
TUR,Turkey,1956,Winter
USA,United States,1956,Winter
AFG,Afghanistan,1960,Summer
ANT,Netherlands Antilles,1960,Summer
ARG,Argentina,1960,Summer
AUS,Australia,1960,Summer
AUT,Austria,1960,Summer
BEL,Belgium,1960,Summer
BGR,Bulgaria,1960,Summer
BHS,Bahamas,1960,Summer
BMU,Bermuda,1960,Summer
BRA,Brazil,1960,Summer
CAN,Canada,1960,Summer
CHE,Switzerland,1960,Summer
CHL,Chile,1960,Summer
COL,Colombia,1960,Summer
CUB,Cuba,1960,Summer
DNK,Denmark,1960,Summer
ESP,Spain,1960,Summer
FIN,Finland,1960,Summer
FJI,Fiji,1960,Summer
FRA,France,1960,Summer
GBR,United Kingdom,1960,Summer
GHA,Ghana,1960,Summer
GRC,Greece,1960,Summer
GUY,Guyana,1960,Summer
HKG,Hong Kong,1960,Summer
HTI,Haiti,1960,Summer
HUN,Hungary,1960,Summer
IDN,Indonesia,1960,Summer
IND,India,1960,Summer
IRL,Ireland,1960,Summer
IRN,Iran,1960,Summer
IRQ,Iraq,1960,Summer
ISL,Iceland,1960,Summer
ISR,Israel,1960,Summer
ITA,Italy,1960,Summer
JPN,Japan,1960,Summer
KEN,Kenya,1960,Summer
KOR,South Korea,1960,Summer
LBN,Lebanon,1960,Summer
LBR,Liberia,1960,Summer
LIE,Liechtenstein,1960,Summer
LKA,Sri Lanka,1960,Summer
LUX,Luxembourg,1960,Summer
MAR,Morocco,1960,Summer
MCO,Monaco,1960,Summer
MEX,Mexico,1960,Summer
MLT,Malta,1960,Summer
MMR,Myanmar,1960,Summer
MYS,Malaysia,1960,Summer
NGA,Nigeria,1960,Summer
NLD,Netherlands,1960,Summer
NOR,Norway,1960,Summer
NZL,New Zealand,1960,Summer
PAK,Pakistan,1960,Summer
PAN,Panama,1960,Summer
PER,Peru,1960,Summer
PHL,Philippines,1960,Summer
POL,Poland,1960,Summer
PRI,Puerto Rico,1960,Summer
PRT,Portugal,1960,Summer
ROU,Romania,1960,Summer
SGP,Singapore,1960,Summer
SMR,San Marino,1960,Summer
SWE,Sweden,1960,Summer
THA,Thailand,1960,Summer
TUN,Tunisia,1960,Summer
TUR,Turkey,1960,Summer
TWN,Taiwan,1960,Summer
UGA,Uganda,1960,Summer
URY,Uruguay,1960,Summer
USA,United States,1960,Summer
VEN,Venezuela,1960,Summer
VNM,Vietnam,1960,Summer
ZAF,South Africa,1960,Summer
ZWE,Zimbabwe,1960,Summer
ARG,Argentina,1960,Winter
AUS,Australia,1960,Winter
AUT,Austria,1960,Winter
BGR,Bulgaria,1960,Winter
CAN,Canada,1960,Winter
CHE,Switzerland,1960,Winter
CHL,Chile,1960,Winter
DNK,Denmark,1960,Winter
ESP,Spain,1960,Winter
FIN,Finland,1960,Winter
FRA,France,1960,Winter
GBR,United Kingdom,1960,Winter
HUN,Hungary,1960,Winter
ISL,Iceland,1960,Winter
ITA,Italy,1960,Winter
JPN,Japan,1960,Winter
KOR,South Korea,1960,Winter
LBN,Lebanon,1960,Winter
LIE,Liechtenstein,1960,Winter
NLD,Netherlands,1960,Winter
NOR,Norway,1960,Winter
NZL,New Zealand,1960,Winter
POL,Poland,1960,Winter
SWE,Sweden,1960,Winter
TUR,Turkey,1960,Winter
USA,United States,1960,Winter
ZAF,South Africa,1960,Winter
AFG,Afghanistan,1964,Summer
ANT,Netherlands Antilles,1964,Summer
ARG,Argentina,1964,Summer
AUS,Australia,1964,Summer
AUT,Austria,1964,Summer
BEL,Belgium,1964,Summer
BGR,Bulgaria,1964,Summer
BHS,Bahamas,1964,Summer
BMU,Bermuda,1964,Summer
BOL,Bolivia,1964,Summer
BRA,Brazil,1964,Summer
CAN,Canada,1964,Summer
CHE,Switzerland,1964,Summer
CHL,Chile,1964,Summer
CIV,Ivory Coast,1964,Summer
CMR,Cameroon,1964,Summer
COG,Congo,1964,Summer
COL,Colombia,1964,Summer
CRI,Costa Rica,1964,Summer
CUB,Cuba,1964,Summer
DNK,Denmark,1964,Summer
DOM,Dominican Republic,1964,Summer
DZA,Algeria,1964,Summer
EGY,Egypt,1964,Summer
ESP,Spain,1964,Summer
FIN,Finland,1964,Summer
FRA,France,1964,Summer
GBR,United Kingdom,1964,Summer
GHA,Ghana,1964,Summer
GRC,Greece,1964,Summer
GUY,Guyana,1964,Summer
HKG,Hong Kong,1964,Summer
HUN,Hungary,1964,Summer
IND,India,1964,Summer
IRL,Ireland,1964,Summer
IRN,Iran,1964,Summer
IRQ,Iraq,1964,Summer
ISL,Iceland,1964,Summer
ISR,Israel,1964,Summer
ITA,Italy,1964,Summer
JAM,Jamaica,1964,Summer
JPN,Japan,1964,Summer
KEN,Kenya,1964,Summer
KHM,Cambodia,1964,Summer
KOR,South Korea,1964,Summer
LBN,Lebanon,1964,Summer
LBR,Liberia,1964,Summer
LIE,Liechtenstein,1964,Summer
LKA,Sri Lanka,1964,Summer
LUX,Luxembourg,1964,Summer
MAR,Morocco,1964,Summer
MCO,Monaco,1964,Summer
MDG,Madagascar,1964,Summer
MEX,Mexico,1964,Summer
MLI,Mali,1964,Summer
MMR,Myanmar,1964,Summer
MNG,Mongolia,1964,Summer
MYS,Malaysia,1964,Summer
NER,Niger,1964,Summer
NGA,Nigeria,1964,Summer
NLD,Netherlands,1964,Summer
NOR,Norway,1964,Summer
NPL,Nepal,1964,Summer
NZL,New Zealand,1964,Summer
PAK,Pakistan,1964,Summer
PAN,Panama,1964,Summer
PER,Peru,1964,Summer
PHL,Philippines,1964,Summer
POL,Poland,1964,Summer
PRI,Puerto Rico,1964,Summer
PRK,North Korea,1964,Summer
PRT,Portugal,1964,Summer
ROU,Romania,1964,Summer
SEN,Senegal,1964,Summer
SWE,Sweden,1964,Summer
TCD,Chad,1964,Summer
THA,Thailand,1964,Summer
TTO,Trinidad and Tobago,1964,Summer
TUN,Tunisia,1964,Summer
TUR,Turkey,1964,Summer
TWN,Taiwan,1964,Summer
TZA,Tanzania,1964,Summer
UGA,Uganda,1964,Summer
URY,Uruguay,1964,Summer
USA,United States,1964,Summer
VEN,Venezuela,1964,Summer
VNM,Vietnam,1964,Summer
ZMB,Zambia,1964,Summer
ZWE,Zimbabwe,1964,Summer
ARG,Argentina,1964,Winter
AUS,Australia,1964,Winter
AUT,Austria,1964,Winter
BEL,Belgium,1964,Winter
BGR,Bulgaria,1964,Winter
CAN,Canada,1964,Winter
CHE,Switzerland,1964,Winter
CHL,Chile,1964,Winter
DNK,Denmark,1964,Winter
ESP,Spain,1964,Winter
FIN,Finland,1964,Winter
FRA,France,1964,Winter
GBR,United Kingdom,1964,Winter
GRC,Greece,1964,Winter
HUN,Hungary,1964,Winter
IND,India,1964,Winter
IRN,Iran,1964,Winter
ISL,Iceland,1964,Winter
ITA,Italy,1964,Winter
JPN,Japan,1964,Winter
KOR,South Korea,1964,Winter
LBN,Lebanon,1964,Winter
LIE,Liechtenstein,1964,Winter
MNG,Mongolia,1964,Winter
NLD,Netherlands,1964,Winter
NOR,Norway,1964,Winter
POL,Poland,1964,Winter
PRK,North Korea,1964,Winter
ROU,Romania,1964,Winter
SWE,Sweden,1964,Winter
TUR,Turkey,1964,Winter
USA,United States,1964,Winter
AFG,Afghanistan,1968,Summer
ANT,Netherlands Antilles,1968,Summer
ARG,Argentina,1968,Summer
AUS,Australia,1968,Summer
AUT,Austria,1968,Summer
BEL,Belgium,1968,Summer
BGR,Bulgaria,1968,Summer
BHS,Bahamas,1968,Summer
BLZ,Belize,1968,Summer
BMU,Bermuda,1968,Summer
BOL,Bolivia,1968,Summer
BRA,Brazil,1968,Summer
BRB,Barbados,1968,Summer
CAF,Central African Republic,1968,Summer
CAN,Canada,1968,Summer
CHE,Switzerland,1968,Summer
CHL,Chile,1968,Summer
CIV,Ivory Coast,1968,Summer
CMR,Cameroon,1968,Summer
COD,DR Congo,1968,Summer
COL,Colombia,1968,Summer
CRI,Costa Rica,1968,Summer
CUB,Cuba,1968,Summer
DNK,Denmark,1968,Summer
DOM,Dominican Republic,1968,Summer
DZA,Algeria,1968,Summer
ECU,Ecuador,1968,Summer
EGY,Egypt,1968,Summer
ESP,Spain,1968,Summer
FIN,Finland,1968,Summer
FJI,Fiji,1968,Summer
FRA,France,1968,Summer
GBR,United Kingdom,1968,Summer
GHA,Ghana,1968,Summer
GIN,Guinea,1968,Summer
GRC,Greece,1968,Summer
GTM,Guatemala,1968,Summer
GUY,Guyana,1968,Summer
HKG,Hong Kong,1968,Summer
HND,Honduras,1968,Summer
HUN,Hungary,1968,Summer
IDN,Indonesia,1968,Summer
IND,India,1968,Summer
IRL,Ireland,1968,Summer
IRN,Iran,1968,Summer
IRQ,Iraq,1968,Summer
ISL,Iceland,1968,Summer
ISR,Israel,1968,Summer
ITA,Italy,1968,Summer
JAM,Jamaica,1968,Summer
JPN,Japan,1968,Summer
KEN,Kenya,1968,Summer
