modern_iso3,country,year,season
GBR,United Kingdom,2006,Winter
GEO,Georgia,2006,Winter
GRC,Greece,2006,Winter
HKG,Hong Kong,2006,Winter
HRV,Croatia,2006,Winter
HUN,Hungary,2006,Winter
IND,India,2006,Winter
IRL,Ireland,2006,Winter
IRN,Iran,2006,Winter
ISL,Iceland,2006,Winter
ISR,Israel,2006,Winter
ITA,Italy,2006,Winter
JPN,Japan,2006,Winter
KAZ,Kazakhstan,2006,Winter
KEN,Kenya,2006,Winter
KGZ,Kyrgyzstan,2006,Winter
KOR,South Korea,2006,Winter
LBN,Lebanon,2006,Winter
LIE,Liechtenstein,2006,Winter
LTU,Lithuania,2006,Winter
LUX,Luxembourg,2006,Winter
LVA,Latvia,2006,Winter
MCO,Monaco,2006,Winter
MDA,Moldova,2006,Winter
MDG,Madagascar,2006,Winter
MKD,North Macedonia,2006,Winter
MNG,Mongolia,2006,Winter
NLD,Netherlands,2006,Winter
NOR,Norway,2006,Winter
NPL,Nepal,2006,Winter
NZL,New Zealand,2006,Winter
POL,Poland,2006,Winter
PRK,North Korea,2006,Winter
PRT,Portugal,2006,Winter
ROU,Romania,2006,Winter
RUS,Russia,2006,Winter
SEN,Senegal,2006,Winter
SMR,San Marino,2006,Winter
SVK,Slovakia,2006,Winter
SVN,Slovenia,2006,Winter
SWE,Sweden,2006,Winter
THA,Thailand,2006,Winter
TJK,Tajikistan,2006,Winter
TUR,Turkey,2006,Winter
TWN,Taiwan,2006,Winter
UKR,Ukraine,2006,Winter
USA,United States,2006,Winter
UZB,Uzbekistan,2006,Winter
VEN,Venezuela,2006,Winter
VIR,US Virgin Islands,2006,Winter
ZAF,South Africa,2006,Winter
ABW,Aruba,2008,Summer
AFG,Afghanistan,2008,Summer
AGO,Angola,2008,Summer
ALB,Albania,2008,Summer
AND,Andorra,2008,Summer
ARE,United Arab Emirates,2008,Summer
ARG,Argentina,2008,Summer
ARM,Armenia,2008,Summer
ASM,American Samoa,2008,Summer
ATG,Antigua and Barbuda,2008,Summer
AUS,Australia,2008,Summer
AUT,Austria,2008,Summer
AZE,Azerbaijan,2008,Summer
BDI,Burundi,2008,Summer
BEL,Belgium,2008,Summer
BEN,Benin,2008,Summer
BFA,Burkina Faso,2008,Summer
BGD,Bangladesh,2008,Summer
BGR,Bulgaria,2008,Summer
BHR,Bahrain,2008,Summer
BHS,Bahamas,2008,Summer
BIH,Bosnia and Herzegovina,2008,Summer
BLR,Belarus,2008,Summer
BLZ,Belize,2008,Summer
BMU,Bermuda,2008,Summer
BOL,Bolivia,2008,Summer
BRA,Brazil,2008,Summer
BRB,Barbados,2008,Summer
BTN,Bhutan,2008,Summer
BWA,Botswana,2008,Summer
CAF,Central African Republic,2008,Summer
CAN,Canada,2008,Summer
CHE,Switzerland,2008,Summer
CHL,Chile,2008,Summer
CHN,China,2008,Summer
CIV,Ivory Coast,2008,Summer
CMR,Cameroon,2008,Summer
COD,DR Congo,2008,Summer
COG,Congo,2008,Summer
COK,Cook Islands,2008,Summer
COL,Colombia,2008,Summer
COM,Comoros,2008,Summer
CPV,Cape Verde,2008,Summer
CRI,Costa Rica,2008,Summer
CUB,Cuba,2008,Summer
CUW,Netherlands Antilles,2008,Summer
CYM,Cayman Islands,2008,Summer
CYP,Cyprus,2008,Summer
CZE,Czech Republic,2008,Summer
DEU,Germany,2008,Summer
DJI,Djibouti,2008,Summer
DMA,Dominica,2008,Summer
DNK,Denmark,2008,Summer
DOM,Dominican Republic,2008,Summer
DZA,Algeria,2008,Summer
ECU,Ecuador,2008,Summer
EGY,Egypt,2008,Summer
ERI,Eritrea,2008,Summer
ESP,Spain,2008,Summer
EST,Estonia,2008,Summer
ETH,Ethiopia,2008,Summer
FIN,Finland,2008,Summer
FJI,Fiji,2008,Summer
FRA,France,2008,Summer
FSM,Micronesia,2008,Summer
GAB,Gabon,2008,Summer
GBR,United Kingdom,2008,Summer
GEO,Georgia,2008,Summer
GHA,Ghana,2008,Summer
GIN,Guinea,2008,Summer
GMB,Gambia,2008,Summer
GNB,Guinea-Bissau,2008,Summer
GNQ,Equatorial Guinea,2008,Summer
GRC,Greece,2008,Summer
GRD,Grenada,2008,Summer
GTM,Guatemala,2008,Summer
GUM,Guam,2008,Summer
GUY,Guyana,2008,Summer
HKG,Hong Kong,2008,Summer
HND,Honduras,2008,Summer
HRV,Croatia,2008,Summer
HTI,Haiti,2008,Summer
HUN,Hungary,2008,Summer
IDN,Indonesia,2008,Summer
IND,India,2008,Summer
IRL,Ireland,2008,Summer
IRN,Iran,2008,Summer
IRQ,Iraq,2008,Summer
ISL,Iceland,2008,Summer
ISR,Israel,2008,Summer
ITA,Italy,2008,Summer
JAM,Jamaica,2008,Summer
JOR,Jordan,2008,Summer
JPN,Japan,2008,Summer
KAZ,Kazakhstan,2008,Summer
KEN,Kenya,2008,Summer
KGZ,Kyrgyzstan,2008,Summer
KHM,Cambodia,2008,Summer
KIR,Kiribati,2008,Summer
KNA,Saint Kitts and Nevis,2008,Summer
KOR,South Korea,2008,Summer
KWT,Kuwait,2008,Summer
LAO,Laos,2008,Summer
LBN,Lebanon,2008,Summer
LBR,Liberia,2008,Summer
LBY,Libya,2008,Summer
LCA,Saint Lucia,2008,Summer
LIE,Liechtenstein,2008,Summer
LKA,Sri Lanka,2008,Summer
LSO,Lesotho,2008,Summer
LTU,Lithuania,2008,Summer
LUX,Luxembourg,2008,Summer
LVA,Latvia,2008,Summer
MAR,Morocco,2008,Summer
MCO,Monaco,2008,Summer
MDA,Moldova,2008,Summer
MDG,Madagascar,2008,Summer
MDV,Maldives,2008,Summer
MEX,Mexico,2008,Summer
MHL,Marshall Islands,2008,Summer
MKD,North Macedonia,2008,Summer
MLI,Mali,2008,Summer
MLT,Malta,2008,Summer
MMR,Myanmar,2008,Summer
MNE,Montenegro,2008,Summer
MNG,Mongolia,2008,Summer
MOZ,Mozambique,2008,Summer
MRT,Mauritania,2008,Summer
MUS,Mauritius,2008,Summer
MWI,Malawi,2008,Summer
MYS,Malaysia,2008,Summer
NAM,Namibia,2008,Summer
NER,Niger,2008,Summer
NGA,Nigeria,2008,Summer
NIC,Nicaragua,2008,Summer
NLD,Netherlands,2008,Summer
NOR,Norway,2008,Summer
NPL,Nepal,2008,Summer
NRU,Nauru,2008,Summer
NZL,New Zealand,2008,Summer
OMN,Oman,2008,Summer
PAK,Pakistan,2008,Summer
PAN,Panama,2008,Summer
PER,Peru,2008,Summer
PHL,Philippines,2008,Summer
PLW,Palau,2008,Summer
PNG,Papua New Guinea,2008,Summer
POL,Poland,2008,Summer
PRI,Puerto Rico,2008,Summer
PRK,North Korea,2008,Summer
PRT,Portugal,2008,Summer
PRY,Paraguay,2008,Summer
PSE,Palestine,2008,Summer
QAT,Qatar,2008,Summer
ROU,Romania,2008,Summer
RUS,Russia,2008,Summer
RWA,Rwanda,2008,Summer
SAU,Saudi Arabia,2008,Summer
SDN,Sudan,2008,Summer
SEN,Senegal,2008,Summer
SGP,Singapore,2008,Summer
SLB,Solomon Islands,2008,Summer
SLE,Sierra Leone,2008,Summer
SLV,El Salvador,2008,Summer
SMR,San Marino,2008,Summer
SOM,Somalia,2008,Summer
SRB,Serbia,2008,Summer
STP,Sao Tome and Principe,2008,Summer
SUR,Suriname,2008,Summer
SVK,Slovakia,2008,Summer
SVN,Slovenia,2008,Summer
SWE,Sweden,2008,Summer
SWZ,Eswatini,2008,Summer
SYC,Seychelles,2008,Summer
SYR,Syria,2008,Summer
TCD,Chad,2008,Summer
TGO,Togo,2008,Summer
THA,Thailand,2008,Summer
TJK,Tajikistan,2008,Summer
TKM,Turkmenistan,2008,Summer
TLS,Timor-Leste,2008,Summer
TON,Tonga,2008,Summer
TTO,Trinidad and Tobago,2008,Summer
TUN,Tunisia,2008,Summer
TUR,Turkey,2008,Summer
TUV,Tuvalu,2008,Summer
TWN,Taiwan,2008,Summer
TZA,Tanzania,2008,Summer
UGA,Uganda,2008,Summer
UKR,Ukraine,2008,Summer
URY,Uruguay,2008,Summer
USA,United States,2008,Summer
UZB,Uzbekistan,2008,Summer
VCT,Saint Vincent and the Grenadines,2008,Summer
VEN,Venezuela,2008,Summer
VGB,British Virgin Islands,2008,Summer
VIR,US Virgin Islands,2008,Summer
VNM,Vietnam,2008,Summer
VUT,Vanuatu,2008,Summer
WSM,Samoa,2008,Summer
YEM,Yemen,2008,Summer
ZAF,South Africa,2008,Summer
ZMB,Zambia,2008,Summer
ZWE,Zimbabwe,2008,Summer
ABW,Aruba,2010,Summer
AGO,Angola,2010,Summer
AND,Andorra,2010,Summer
ARG,Argentina,2010,Summer
ARM,Armenia,2010,Summer
ATG,Antigua and Barbuda,2010,Summer
AUS,Australia,2010,Summer
AUT,Austria,2010,Summer
AZE,Azerbaijan,2010,Summer
BEL,Belgium,2010,Summer
BFA,Burkina Faso,2010,Summer
BGD,Bangladesh,2010,Summer
BGR,Bulgaria,2010,Summer
BHS,Bahamas,2010,Summer
BIH,Bosnia and Herzegovina,2010,Summer
BLR,Belarus,2010,Summer
BOL,Bolivia,2010,Summer
BRA,Brazil,2010,Summer
BRB,Barbados,2010,Summer
BRN,Brunei,2010,Summer
CAN,Canada,2010,Summer
CHE,Switzerland,2010,Summer
CHN,China,2010,Summer
CIV,Ivory Coast,2010,Summer
COK,Cook Islands,2010,Summer
COL,Colombia,2010,Summer
CUB,Cuba,2010,Summer
CUW,Netherlands Antilles,2010,Summer
CYM,Cayman Islands,2010,Summer
CYP,Cyprus,2010,Summer
CZE,Czech Republic,2010,Summer
DEU,Germany,2010,Summer
DJI,Djibouti,2010,Summer
DNK,Denmark,2010,Summer
DOM,Dominican Republic,2010,Summer
DZA,Algeria,2010,Summer
ECU,Ecuador,2010,Summer
EGY,Egypt,2010,Summer
ERI,Eritrea,2010,Summer
ESP,Spain,2010,Summer
ETH,Ethiopia,2010,Summer
FIN,Finland,2010,Summer
FRA,France,2010,Summer
FSM,Micronesia,2010,Summer
GBR,United Kingdom,2010,Summer
GEO,Georgia,2010,Summer
GRC,Greece,2010,Summer
GRD,Grenada,2010,Summer
GTM,Guatemala,2010,Summer
HKG,Hong Kong,2010,Summer
HND,Honduras,2010,Summer
HRV,Croatia,2010,Summer
HUN,Hungary,2010,Summer
IDN,Indonesia,2010,Summer
IND,India,2010,Summer
IRL,Ireland,2010,Summer
ISL,Iceland,2010,Summer
ISR,Israel,2010,Summer
ITA,Italy,2010,Summer
JAM,Jamaica,2010,Summer
JPN,Japan,2010,Summer
KAZ,Kazakhstan,2010,Summer
KEN,Kenya,2010,Summer
KGZ,Kyrgyzstan,2010,Summer
KIR,Kiribati,2010,Summer
KOR,South Korea,2010,Summer
LBN,Lebanon,2010,Summer
LBY,Libya,2010,Summer
LCA,Saint Lucia,2010,Summer
LIE,Liechtenstein,2010,Summer
LKA,Sri Lanka,2010,Summer
LTU,Lithuania,2010,Summer
LUX,Luxembourg,2010,Summer
LVA,Latvia,2010,Summer
MAR,Morocco,2010,Summer
MDA,Moldova,2010,Summer
MDG,Madagascar,2010,Summer
MDV,Maldives,2010,Summer
MEX,Mexico,2010,Summer
MHL,Marshall Islands,2010,Summer
MKD,North Macedonia,2010,Summer
MMR,Myanmar,2010,Summer
MOZ,Mozambique,2010,Summer
MRT,Mauritania,2010,Summer
MUS,Mauritius,2010,Summer
MWI,Malawi,2010,Summer
MYS,Malaysia,2010,Summer
NGA,Nigeria,2010,Summer
NLD,Netherlands,2010,Summer
NOR,Norway,2010,Summer
NPL,Nepal,2010,Summer
NRU,Nauru,2010,Summer
NZL,New Zealand,2010,Summer
OMN,Oman,2010,Summer
PAK,Pakistan,2010,Summer
PER,Peru,2010,Summer
PHL,Philippines,2010,Summer
PLW,Palau,2010,Summer
PNG,Papua New Guinea,2010,Summer
POL,Poland,2010,Summer
PRI,Puerto Rico,2010,Summer
PRK,North Korea,2010,Summer
PRT,Portugal,2010,Summer
PRY,Paraguay,2010,Summer
PSE,Palestine,2010,Summer
QAT,Qatar,2010,Summer
ROU,Romania,2010,Summer
RUS,Russia,2010,Summer
SAU,Saudi Arabia,2010,Summer
SGP,Singapore,2010,Summer
SLV,El Salvador,2010,Summer
SRB,Serbia,2010,Summer
SUR,Suriname,2010,Summer
SVK,Slovakia,2010,Summer
SVN,Slovenia,2010,Summer
SWE,Sweden,2010,Summer
SYR,Syria,2010,Summer
THA,Thailand,2010,Summer
TKM,Turkmenistan,2010,Summer
TUN,Tunisia,2010,Summer
TUR,Turkey,2010,Summer
TWN,Taiwan,2010,Summer
UGA,Uganda,2010,Summer
UKR,Ukraine,2010,Summer
USA,United States,2010,Summer
UZB,Uzbekistan,2010,Summer
VEN,Venezuela,2010,Summer
VGB,British Virgin Islands,2010,Summer
VNM,Vietnam,2010,Summer
ZAF,South Africa,2010,Summer
ZMB,Zambia,2010,Summer
ALB,Albania,2010,Winter
AND,Andorra,2010,Winter
ARG,Argentina,2010,Winter
ARM,Armenia,2010,Winter
AUS,Australia,2010,Winter
AUT,Austria,2010,Winter
AZE,Azerbaijan,2010,Winter
BEL,Belgium,2010,Winter
BGR,Bulgaria,2010,Winter
BIH,Bosnia and Herzegovina,2010,Winter
BLR,Belarus,2010,Winter
BMU,Bermuda,2010,Winter
BRA,Brazil,2010,Winter
CAN,Canada,2010,Winter
CHE,Switzerland,2010,Winter
CHL,Chile,2010,Winter
CHN,China,2010,Winter
COL,Colombia,2010,Winter
CYM,Cayman Islands,2010,Winter
CYP,Cyprus,2010,Winter
CZE,Czech Republic,2010,Winter
DEU,Germany,2010,Winter
DNK,Denmark,2010,Winter
DZA,Algeria,2010,Winter
ESP,Spain,2010,Winter
EST,Estonia,2010,Winter
ETH,Ethiopia,2010,Winter
FIN,Finland,2010,Winter
FRA,France,2010,Winter
GBR,United Kingdom,2010,Winter
GEO,Georgia,2010,Winter
GHA,Ghana,2010,Winter
GRC,Greece,2010,Winter
HKG,Hong Kong,2010,Winter
HRV,Croatia,2010,Winter
HUN,Hungary,2010,Winter
IND,India,2010,Winter
IRL,Ireland,2010,Winter
IRN,Iran,2010,Winter
ISL,Iceland,2010,Winter
ISR,Israel,2010,Winter
ITA,Italy,2010,Winter
JAM,Jamaica,2010,Winter
JPN,Japan,2010,Winter
KAZ,Kazakhstan,2010,Winter
KGZ,Kyrgyzstan,2010,Winter
KOR,South Korea,2010,Winter
LBN,Lebanon,2010,Winter
LIE,Liechtenstein,2010,Winter
LTU,Lithuania,2010,Winter
LVA,Latvia,2010,Winter
MAR,Morocco,2010,Winter
MCO,Monaco,2010,Winter
MDA,Moldova,2010,Winter
MEX,Mexico,2010,Winter
MKD,North Macedonia,2010,Winter
MNE,Montenegro,2010,Winter
MNG,Mongolia,2010,Winter
NLD,Netherlands,2010,Winter
NOR,Norway,2010,Winter
NPL,Nepal,2010,Winter
NZL,New Zealand,2010,Winter
PAK,Pakistan,2010,Winter
PER,Peru,2010,Winter
POL,Poland,2010,Winter
PRK,North Korea,2010,Winter
PRT,Portugal,2010,Winter
ROU,Romania,2010,Winter
RUS,Russia,2010,Winter
SEN,Senegal,2010,Winter
SMR,San Marino,2010,Winter
SRB,Serbia,2010,Winter
SVK,Slovakia,2010,Winter
SVN,Slovenia,2010,Winter
SWE,Sweden,2010,Winter
TJK,Tajikistan,2010,Winter
TUR,Turkey,2010,Winter
TWN,Taiwan,2010,Winter
UKR,Ukraine,2010,Winter
USA,United States,2010,Winter
UZB,Uzbekistan,2010,Winter
ZAF,South Africa,2010,Winter
ABW,Aruba,2012,Summer
AFG,Afghanistan,2012,Summer
AGO,Angola,2012,Summer
ALB,Albania,2012,Summer
AND,Andorra,2012,Summer
ARE,United Arab Emirates,2012,Summer
ARG,Argentina,2012,Summer
ARM,Armenia,2012,Summer
ASM,American Samoa,2012,Summer
ATG,Antigua and Barbuda,2012,Summer
AUS,Australia,2012,Summer
AUT,Austria,2012,Summer
AZE,Azerbaijan,2012,Summer
BDI,Burundi,2012,Summer
BEL,Belgium,2012,Summer
BEN,Benin,2012,Summer
BFA,Burkina Faso,2012,Summer
BGD,Bangladesh,2012,Summer
BGR,Bulgaria,2012,Summer
BHR,Bahrain,2012,Summer
BHS,Bahamas,2012,Summer
BIH,Bosnia and Herzegovina,2012,Summer
BLR,Belarus,2012,Summer
BLZ,Belize,2012,Summer
BMU,Bermuda,2012,Summer
BOL,Bolivia,2012,Summer
BRA,Brazil,2012,Summer
BRB,Barbados,2012,Summer
BRN,Brunei,2012,Summer
BTN,Bhutan,2012,Summer
BWA,Botswana,2012,Summer
CAF,Central African Republic,2012,Summer
CAN,Canada,2012,Summer
CHE,Switzerland,2012,Summer
CHL,Chile,2012,Summer
CHN,China,2012,Summer
CIV,Ivory Coast,2012,Summer
CMR,Cameroon,2012,Summer
COD,DR Congo,2012,Summer
COG,Congo,2012,Summer
COK,Cook Islands,2012,Summer
COL,Colombia,2012,Summer
COM,Comoros,2012,Summer
CPV,Cape Verde,2012,Summer
CRI,Costa Rica,2012,Summer
CUB,Cuba,2012,Summer
CYM,Cayman Islands,2012,Summer
CYP,Cyprus,2012,Summer
CZE,Czech Republic,2012,Summer
DEU,Germany,2012,Summer
DJI,Djibouti,2012,Summer
DMA,Dominica,2012,Summer
DNK,Denmark,2012,Summer
DOM,Dominican Republic,2012,Summer
DZA,Algeria,2012,Summer
ECU,Ecuador,2012,Summer
EGY,Egypt,2012,Summer
ERI,Eritrea,2012,Summer
ESP,Spain,2012,Summer
EST,Estonia,2012,Summer
ETH,Ethiopia,2012,Summer
FIN,Finland,2012,Summer
FJI,Fiji,2012,Summer
FRA,France,2012,Summer
FSM,Micronesia,2012,Summer
GAB,Gabon,2012,Summer
GBR,United Kingdom,2012,Summer
GEO,Georgia,2012,Summer
GHA,Ghana,2012,Summer
GIN,Guinea,2012,Summer
GMB,Gambia,2012,Summer
GNB,Guinea-Bissau,2012,Summer
GNQ,Equatorial Guinea,2012,Summer
GRC,Greece,2012,Summer
GRD,Grenada,2012,Summer
GTM,Guatemala,2012,Summer
GUM,Guam,2012,Summer
GUY,Guyana,2012,Summer
HKG,Hong Kong,2012,Summer
HND,Honduras,2012,Summer
HRV,Croatia,2012,Summer
HTI,Haiti,2012,Summer
HUN,Hungary,2012,Summer
IDN,Indonesia,2012,Summer
IND,India,2012,Summer
IRL,Ireland,2012,Summer
IRN,Iran,2012,Summer
IRQ,Iraq,2012,Summer
ISL,Iceland,2012,Summer
ISR,Israel,2012,Summer
ITA,Italy,2012,Summer
JAM,Jamaica,2012,Summer
JOR,Jordan,2012,Summer
JPN,Japan,2012,Summer
KAZ,Kazakhstan,2012,Summer
KEN,Kenya,2012,Summer
KGZ,Kyrgyzstan,2012,Summer
KHM,Cambodia,2012,Summer
KIR,Kiribati,2012,Summer
KNA,Saint Kitts and Nevis,2012,Summer
KOR,South Korea,2012,Summer
KWT,Kuwait,2012,Summer
LAO,Laos,2012,Summer
LBN,Lebanon,2012,Summer
LBR,Liberia,2012,Summer
LBY,Libya,2012,Summer
LCA,Saint Lucia,2012,Summer
LIE,Liechtenstein,2012,Summer
LKA,Sri Lanka,2012,Summer
LSO,Lesotho,2012,Summer
LTU,Lithuania,2012,Summer
LUX,Luxembourg,2012,Summer
LVA,Latvia,2012,Summer
MAR,Morocco,2012,Summer
MCO,Monaco,2012,Summer
MDA,Moldova,2012,Summer
MDG,Madagascar,2012,Summer
MDV,Maldives,2012,Summer
MEX,Mexico,2012,Summer
MHL,Marshall Islands,2012,Summer
MKD,North Macedonia,2012,Summer
MLI,Mali,2012,Summer
MLT,Malta,2012,Summer
MMR,Myanmar,2012,Summer
MNE,Montenegro,2012,Summer
MNG,Mongolia,2012,Summer
MOZ,Mozambique,2012,Summer
MRT,Mauritania,2012,Summer
MUS,Mauritius,2012,Summer
MWI,Malawi,2012,Summer
MYS,Malaysia,2012,Summer
NAM,Namibia,2012,Summer
NER,Niger,2012,Summer
NGA,Nigeria,2012,Summer
NIC,Nicaragua,2012,Summer
NLD,Netherlands,2012,Summer
NOR,Norway,2012,Summer
NPL,Nepal,2012,Summer
NRU,Nauru,2012,Summer
NZL,New Zealand,2012,Summer
OMN,Oman,2012,Summer
PAK,Pakistan,2012,Summer
PAN,Panama,2012,Summer
PER,Peru,2012,Summer
PHL,Philippines,2012,Summer
PLW,Palau,2012,Summer
PNG,Papua New Guinea,2012,Summer
POL,Poland,2012,Summer
PRI,Puerto Rico,2012,Summer
PRK,North Korea,2012,Summer
PRT,Portugal,2012,Summer
PRY,Paraguay,2012,Summer
PSE,Palestine,2012,Summer
QAT,Qatar,2012,Summer
ROU,Romania,2012,Summer
RUS,Russia,2012,Summer
RWA,Rwanda,2012,Summer
SAU,Saudi Arabia,2012,Summer
SDN,Sudan,2012,Summer
SEN,Senegal,2012,Summer
SGP,Singapore,2012,Summer
SLB,Solomon Islands,2012,Summer
SLE,Sierra Leone,2012,Summer
SLV,El Salvador,2012,Summer
SMR,San Marino,2012,Summer
SOM,Somalia,2012,Summer
SRB,Serbia,2012,Summer
STP,Sao Tome and Principe,2012,Summer
SUR,Suriname,2012,Summer
SVK,Slovakia,2012,Summer
SVN,Slovenia,2012,Summer
SWE,Sweden,2012,Summer
SWZ,Eswatini,2012,Summer
SYC,Seychelles,2012,Summer
SYR,Syria,2012,Summer
TCD,Chad,2012,Summer
TGO,Togo,2012,Summer
THA,Thailand,2012,Summer
TJK,Tajikistan,2012,Summer
TKM,Turkmenistan,2012,Summer
TLS,Timor-Leste,2012,Summer
TON,Tonga,2012,Summer
TTO,Trinidad and Tobago,2012,Summer
TUN,Tunisia,2012,Summer
TUR,Turkey,2012,Summer
TUV,Tuvalu,2012,Summer
TWN,Taiwan,2012,Summer
TZA,Tanzania,2012,Summer
UGA,Uganda,2012,Summer
UKR,Ukraine,2012,Summer
URY,Uruguay,2012,Summer
USA,United States,2012,Summer
UZB,Uzbekistan,2012,Summer
VCT,Saint Vincent and the Grenadines,2012,Summer
VEN,Venezuela,2012,Summer
VGB,British Virgin Islands,2012,Summer
VIR,US Virgin Islands,2012,Summer
VNM,Vietnam,2012,Summer
VUT,Vanuatu,2012,Summer
WSM,Samoa,2012,Summer
YEM,Yemen,2012,Summer
ZAF,South Africa,2012,Summer
ZMB,Zambia,2012,Summer
ZWE,Zimbabwe,2012,Summer
AND,Andorra,2012,Winter
AUS,Australia,2012,Winter
AUT,Austria,2012,Winter
BEL,Belgium,2012,Winter
BGR,Bulgaria,2012,Winter
CAN,Canada,2012,Winter
CHE,Switzerland,2012,Winter
CHN,China,2012,Winter
CYP,Cyprus,2012,Winter
CZE,Czech Republic,2012,Winter
DEU,Germany,2012,Winter
ERI,Eritrea,2012,Winter
EST,Estonia,2012,Winter
FIN,Finland,2012,Winter
FRA,France,2012,Winter
GBR,United Kingdom,2012,Winter
GRC,Greece,2012,Winter
HRV,Croatia,2012,Winter
HUN,Hungary,2012,Winter
IRL,Ireland,2012,Winter
ISL,Iceland,2012,Winter
ITA,Italy,2012,Winter
JPN,Japan,2012,Winter
KAZ,Kazakhstan,2012,Winter
KOR,South Korea,2012,Winter
LBN,Lebanon,2012,Winter
LIE,Liechtenstein,2012,Winter
LTU,Lithuania,2012,Winter
LVA,Latvia,2012,Winter
MAR,Morocco,2012,Winter
MCO,Monaco,2012,Winter
NLD,Netherlands,2012,Winter
NOR,Norway,2012,Winter
NZL,New Zealand,2012,Winter
PHL,Philippines,2012,Winter
POL,Poland,2012,Winter
ROU,Romania,2012,Winter
RUS,Russia,2012,Winter
SMR,San Marino,2012,Winter
SVK,Slovakia,2012,Winter
SVN,Slovenia,2012,Winter
SWE,Sweden,2012,Winter
TUR,Turkey,2012,Winter
TWN,Taiwan,2012,Winter
UKR,Ukraine,2012,Winter
USA,United States,2012,Winter
ABW,Aruba,2014,Summer
AGO,Angola,2014,Summer
ALB,Albania,2014,Summer
AND,Andorra,2014,Summer
ARG,Argentina,2014,Summer
ARM,Armenia,2014,Summer
ATG,Antigua and Barbuda,2014,Summer
AUS,Australia,2014,Summer
AUT,Austria,2014,Summer
AZE,Azerbaijan,2014,Summer
BEL,Belgium,2014,Summer
BGR,Bulgaria,2014,Summer
BHR,Bahrain,2014,Summer
BHS,Bahamas,2014,Summer
BMU,Bermuda,2014,Summer
BOL,Bolivia,2014,Summer
BRA,Brazil,2014,Summer
BWA,Botswana,2014,Summer
CAN,Canada,2014,Summer
CHE,Switzerland,2014,Summer
CHL,Chile,2014,Summer
CHN,China,2014,Summer
COL,Colombia,2014,Summer
CUB,Cuba,2014,Summer
CYM,Cayman Islands,2014,Summer
CYP,Cyprus,2014,Summer
CZE,Czech Republic,2014,Summer
DEU,Germany,2014,Summer
DJI,Djibouti,2014,Summer
DOM,Dominican Republic,2014,Summer
EGY,Egypt,2014,Summer
ESP,Spain,2014,Summer
FJI,Fiji,2014,Summer
FRA,France,2014,Summer
GBR,United Kingdom,2014,Summer
GRC,Greece,2014,Summer
GTM,Guatemala,2014,Summer
GUY,Guyana,2014,Summer
HKG,Hong Kong,2014,Summer
HUN,Hungary,2014,Summer
IDN,Indonesia,2014,Summer
IND,India,2014,Summer
IRN,Iran,2014,Summer
ISR,Israel,2014,Summer
ITA,Italy,2014,Summer
JAM,Jamaica,2014,Summer
JOR,Jordan,2014,Summer
JPN,Japan,2014,Summer
KAZ,Kazakhstan,2014,Summer
KOR,South Korea,2014,Summer
LBY,Libya,2014,Summer
LKA,Sri Lanka,2014,Summer
LSO,Lesotho,2014,Summer
LTU,Lithuania,2014,Summer
LUX,Luxembourg,2014,Summer
LVA,Latvia,2014,Summer
MAR,Morocco,2014,Summer
MDA,Moldova,2014,Summer
MEX,Mexico,2014,Summer
MLI,Mali,2014,Summer
MNG,Mongolia,2014,Summer
MOZ,Mozambique,2014,Summer
MWI,Malawi,2014,Summer
MYS,Malaysia,2014,Summer
NER,Niger,2014,Summer
NLD,Netherlands,2014,Summer
NOR,Norway,2014,Summer
NZL,New Zealand,2014,Summer
OMN,Oman,2014,Summer
PAK,Pakistan,2014,Summer
PAN,Panama,2014,Summer
PER,Peru,2014,Summer
PLW,Palau,2014,Summer
POL,Poland,2014,Summer
PRI,Puerto Rico,2014,Summer
PRT,Portugal,2014,Summer
ROU,Romania,2014,Summer
RUS,Russia,2014,Summer
SGP,Singapore,2014,Summer
SLV,El Salvador,2014,Summer
SOM,Somalia,2014,Summer
SRB,Serbia,2014,Summer
SVK,Slovakia,2014,Summer
SVN,Slovenia,2014,Summer
SWE,Sweden,2014,Summer
SYC,Seychelles,2014,Summer
TGO,Togo,2014,Summer
THA,Thailand,2014,Summer
TLS,Timor-Leste,2014,Summer
TON,Tonga,2014,Summer
TTO,Trinidad and Tobago,2014,Summer
TUN,Tunisia,2014,Summer
TUR,Turkey,2014,Summer
TWN,Taiwan,2014,Summer
TZA,Tanzania,2014,Summer
UKR,Ukraine,2014,Summer
URY,Uruguay,2014,Summer
USA,United States,2014,Summer
UZB,Uzbekistan,2014,Summer
VEN,Venezuela,2014,Summer
VNM,Vietnam,2014,Summer
ZAF,South Africa,2014,Summer
ZMB,Zambia,2014,Summer
ALB,Albania,2014,Winter
AND,Andorra,2014,Winter
ARG,Argentina,2014,Winter
ARM,Armenia,2014,Winter
AUS,Australia,2014,Winter
AUT,Austria,2014,Winter
AZE,Azerbaijan,2014,Winter
BEL,Belgium,2014,Winter
BGR,Bulgaria,2014,Winter
BIH,Bosnia and Herzegovina,2014,Winter
BLR,Belarus,2014,Winter
BMU,Bermuda,2014,Winter
BRA,Brazil,2014,Winter
CAN,Canada,2014,Winter
CHE,Switzerland,2014,Winter
CHL,Chile,2014,Winter
CHN,China,2014,Winter
CYM,Cayman Islands,2014,Winter
CYP,Cyprus,2014,Winter
CZE,Czech Republic,2014,Winter
DEU,Germany,2014,Winter
